"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 15 15:20:00 UTC 2025","Wed Jan 15 15:20:00 UTC 2025","203","tests.functional","test_smoke","","","","test_healthcheck","
    Test the health check endpoint for a 200 response and the expected data structure.
    "
"passed","Wed Jan 15 15:19:59 UTC 2025","Wed Jan 15 15:20:00 UTC 2025","1133","tests.functional","test_new_valid_email_flow","","","","test_email_processing_flow_with_handler[BaseHandler]","
    Functional test to verify end-to-end email processing flow:
    - Valid payload is sent to the server.
    - The correct handler processes the email (validated via the response or logs).
    - Email is 'stored' (simulated by checking the response).
    "
